description,insurance_type,claim_type,severity,department
"В уведомлението е посочено, че Застрахованият е причинил щети на чуждо имущество. Подадено е уведомление към застрахователя.",Liability,Property damage,Medium,Liability Claims
"Клиентът съобщава, че Застрахованото лице е починало след тежък инцидент. Клиентът представя документи за събитието.",Accident,Death benefit,Critical,Accident Claims
Багажът е доставен със закъснение от два дни. Необходима е допълнителна проверка на обстоятелствата.,Travel,Delayed baggage,Low,Travel Claims
"Клиентът съобщава, че Куфарът е получен със значително закъснение. Подадено е уведомление към застрахователя.",Travel,Delayed baggage,Low,Travel Claims
"Клиентът съобщава, че Застрахованото лице е починало след тежък инцидент. Налични са снимки на увредените части.",Accident,Death benefit,Critical,Accident Claims
По първоначална информация Клиентът съобщава за кражба на автомобила пред блока. Налични са снимки на увредените части.,Auto,Theft,High,Motor Claims
"Клиентът съобщава, че Закупени са лекарства по лекарско предписание. Подадено е уведомление към застрахователя.",Health,Medication reimbursement,Low,Health Claims
"Клиентът съобщава, че Клиентът има правни разходи във връзка с претенция. Подадено е уведомление към застрахователя.",Liability,Legal expenses,Medium,Liability Claims
"В уведомлението е посочено, че Пострадалият има счупена кост след злополука. Подадено е уведомление към застрахователя.",Accident,Fracture,Medium,Accident Claims
След удар с диво животно има повредена броня и радиатор.,Auto,Animal collision,High,Motor Claims
"В уведомлението е посочено, че Клиентът е бил хоспитализиран за няколко дни. Клиентът представя документи за събитието.",Health,Hospitalization,High,Health Claims
По първоначална информация Има страничен удар в лявата врата след ПТП. Необходима е допълнителна проверка на обстоятелствата.,Auto,Side collision,Medium,Motor Claims
Откраднати са гуми и джанти от автомобила. Клиентът представя документи за събитието.,Auto,Theft,Critical,Motor Claims
По първоначална информация Има паднала мазилка и напукани тавани след земетресение. Клиентът представя документи за събитието.,Property,Earthquake,Critical,Property Claims
Извършено е амбулаторно лечение. Клиентът представя документи за събитието.,Health,Outpatient treatment,Medium,Health Claims
"Клиентът съобщава, че Медицинска комисия е определила трайна загуба на работоспособност. Клиентът представя документи за събитието.",Accident,Permanent disability,High,Accident Claims
"Клиентът съобщава, че След инцидент е установена фрактура на крак. Подадено е уведомление към застрахователя.",Accident,Fracture,High,Accident Claims
По първоначална информация Клиентът е посетил специалист и е заплатил преглед. Клиентът представя документи за събитието.,Health,Outpatient treatment,Low,Health Claims
"Клиентът съобщава, че След удар с диво животно има повредена броня и радиатор. Подадено е уведомление към застрахователя.",Auto,Animal collision,Medium,Motor Claims
"Клиентът съобщава, че Подадена е претенция за възстановяване на разходи за операция. Клиентът представя документи за събитието.",Health,Surgery,High,Health Claims
"В уведомлението е посочено, че Куфарът на клиента е изгубен по време на полет. Необходима е допълнителна проверка на обстоятелствата.",Travel,Lost baggage,High,Travel Claims
"Клиентът съобщава, че Вода е навлязла в купето и е повредила електрониката. Необходима е допълнителна проверка на обстоятелствата.",Auto,Flood,Critical,Motor Claims
"В уведомлението е посочено, че Предното стъкло е спукано от камък по време на движение. Налични са снимки на увредените части.",Auto,Glass damage,Low,Motor Claims
Повредена е електроника след късо съединение. Подадено е уведомление към застрахователя.,Property,Electrical damage,Low,Property Claims
По първоначална информация Авиокомпанията е анулирала полета в деня на пътуването. Необходима е допълнителна проверка на обстоятелствата.,Travel,Flight cancellation,Medium,Travel Claims
По първоначална информация Клиентът е транспортиран до болница с линейка. Клиентът представя документи за събитието.,Travel,Emergency evacuation,Critical,Travel Claims
"Клиентът съобщава, че Настъпила е смърт вследствие на злополука. Подадено е уведомление към застрахователя.",Accident,Death benefit,Critical,Accident Claims
По първоначална информация Клиентът е приет по спешност след внезапно влошаване. Подадено е уведомление към застрахователя.,Health,Emergency treatment,Critical,Health Claims
"В уведомлението е посочено, че По време на пътуване е възникнала нужда от медицинска евакуация. Клиентът представя документи за събитието.",Travel,Emergency evacuation,High,Travel Claims
По време на пътуване е възникнала нужда от медицинска евакуация. Необходима е допълнителна проверка на обстоятелствата.,Travel,Emergency evacuation,Critical,Travel Claims
По първоначална информация Клиентът е пропуснал връзка заради закъснение. Клиентът представя документи за събитието.,Travel,Flight delay,Low,Travel Claims
По първоначална информация От жилището са откраднати техника и лични вещи.,Property,Theft,High,Property Claims
Автомобилът е надраскан умишлено с остър предмет. Налични са снимки на увредените части.,Auto,Vandalism,Medium,Motor Claims
"Клиентът съобщава, че Представени са рецепта и фактура за медикаменти. Подадено е уведомление към застрахователя.",Health,Medication reimbursement,Medium,Health Claims
По първоначална информация След теч от тръба е повреден ламинатът. Подадено е уведомление към застрахователя.,Property,Burst pipe,High,Property Claims
"В уведомлението е посочено, че След теч от тръба е повреден ламинатът. Налични са снимки на увредените части.",Property,Burst pipe,High,Property Claims
По първоначална информация Подадени са документи за лечение в болница.,Health,Hospitalization,High,Health Claims
"В уведомлението е посочено, че Извършено е лечение в спешно отделение.",Health,Emergency treatment,High,Health Claims
"Клиентът съобщава, че Пожар е унищожил купето на автомобила. Необходима е допълнителна проверка на обстоятелствата.",Auto,Fire,High,Motor Claims
Има пукнатина на челното стъкло след удар от предмет. Налични са снимки на увредените части.,Auto,Glass damage,Low,Motor Claims
По първоначална информация Клиентът е претърпял операция и представя болнични документи.,Health,Surgery,High,Health Claims
"В уведомлението е посочено, че Водачът е изгубил контрол и се е ударил в мантинела извън населено място. Налични са снимки на увредените части.",Auto,Collision,Medium,Motor Claims
"Клиентът съобщава, че Клиентът е получил счупване на ръка след падане.",Accident,Fracture,Medium,Accident Claims
"Клиентът съобщава, че Автомобилът е наводнен след проливен дъжд. Клиентът представя документи за събитието.",Auto,Flood,Critical,Motor Claims
"Клиентът съобщава, че Има пукнатина на челното стъкло след удар от предмет. Клиентът представя документи за събитието.",Auto,Glass damage,Medium,Motor Claims
По първоначална информация Покривът е повреден след силен вятър. Клиентът представя документи за събитието.,Property,Roof damage,Medium,Property Claims
По първоначална информация Къщата е засегната от пожар и има опушени стени. Налични са снимки на увредените части.,Property,Fire,Critical,Property Claims
По първоначална информация Има паднала мазилка и напукани тавани след земетресение. Клиентът представя документи за събитието.,Property,Earthquake,High,Property Claims
"Клиентът съобщава, че Автомобилът е наводнен след проливен дъжд.",Auto,Flood,Critical,Motor Claims
"В уведомлението е посочено, че Пожар е унищожил купето на автомобила. Налични са снимки на увредените части.",Auto,Fire,Critical,Motor Claims
"В уведомлението е посочено, че Възникнали са съдебни разноски по застрахователен спор. Подадено е уведомление към застрахователя.",Liability,Legal expenses,High,Liability Claims
По първоначална информация Пострадалият не може да работи временно след травма. Налични са снимки на увредените части.,Accident,Temporary disability,Medium,Accident Claims
